sample_accession	submission_accession	sample_description	sampling_platform	study_accession	sampling_site	marine_region	sample_title	country	location_end	location	location_start	isolation_source	depth
SAMEA7721947	ERA3196731	pooled sample of damaged individuals		PRJEB41973			MPK						
SAMEA9143944	ERA4690903	838bc62a-a5b5-40d4-a8fb-cdf0efb9e30d-dtol					838bc62a-a5b5-40d4-a8fb-cdf0efb9e30d-dtol	United Kingdom	51.7718 N 1.3376 W	51.7718 N 1.3376 W	51.7718 N 1.3376 W		
SAMEA9143945	ERA4690903	bfe8c892-e62a-4023-9cd9-fe0d65ebce86-dtol		PRJEB76840			bfe8c892-e62a-4023-9cd9-fe0d65ebce86-dtol	United Kingdom	51.7718 N 1.3376 W	51.7718 N 1.3376 W	51.7718 N 1.3376 W		
SAMN30128038	SRA1468393	Plant sample from Fagus grandifolia		PRJNA751902			Plant sample from Fagus grandifolia	USA: New Hampshire	43.95547666 N 71.76467833 W	43.95547666 N 71.76467833 W	43.95547666 N 71.76467833 W		
SAMN30128039	SRA1468393	Plant sample from Fagus grandifolia		PRJNA751902			Plant sample from Fagus grandifolia	USA: New Hampshire	43.94704333 N 71.73243333 W	43.94704333 N 71.73243333 W	43.94704333 N 71.73243333 W		
SAMN30128040	SRA1468393	Plant sample from Fagus grandifolia		PRJNA751902			Plant sample from Fagus grandifolia	USA: New Hampshire	43.93977666 N 71.75951666 W	43.93977666 N 71.75951666 W	43.93977666 N 71.75951666 W		
SAMN30128044	SRA1468393	Plant sample from Fagus grandifolia		PRJNA751902			Plant sample from Fagus grandifolia	USA: New Hampshire	43.988145 N 71.74650333 W	43.988145 N 71.74650333 W	43.988145 N 71.74650333 W		
SAMN30128050	SRA1468393	Plant sample from Fagus grandifolia		PRJNA751902			Plant sample from Fagus grandifolia	USA: New Hampshire	43.94704333 N 71.73243333 W	43.94704333 N 71.73243333 W	43.94704333 N 71.73243333 W		
SAMN31434552	SRA1526574	Plant sample from Fagus sylvatica		PRJNA893871			Plant sample from Fagus sylvatica	Italy: Apennines, Maresca					
SAMN31434553	SRA1526574	Plant sample from Fagus sylvatica		PRJNA893871			Plant sample from Fagus sylvatica	Italy: Apennines, Maresca					
SAMN31434556	SRA1526574	Plant sample from Fagus sylvatica		PRJNA893871			Plant sample from Fagus sylvatica	Italy: Apennines, Maresca					
SAMN31434558	SRA1526574	Plant sample from Fagus sylvatica		PRJNA893871			Plant sample from Fagus sylvatica	Italy: Alps, Cembra					
SAMN37583773	SRA1748127	Targeted sequencing of Fagus sylvatica		PRJNA1022030			Targeted sequencing of Fagus sylvatica	missing					
SAMN37583775	SRA1748127	Targeted sequencing of Fagus japonica		PRJNA1022030			Targeted sequencing of Fagus japonica	missing					
SAMEA112896187	ERA21824932	Protocols: Per plant: harvest of fine roots (< 2mm diameter) in the field, froozen in liquid nitrogen and transport to the lab on dry ice. Storage at -80°C until RNA extraction environmental samples Total RNA was extracted using the protocol of Chang S, Puryear J, Cairney J (1993, A simple and efficient method for isolating RNA from pine trees. Plant Mol Biol Rep 11:113–116). The RNA of four samples was pooled. The cDNA libraries were prepared using NEBNext Ultra RNA Library Prep Kit for Illumina (New England BioLabs, Frankfurt am Main, Germany) according to the manufactorer´s protocol		PRJEB61297	AEW06		S11_S3						
SAMEA112896190	ERA21824932	Protocols: Per plant: harvest of fine roots (< 2mm diameter) in the field, froozen in liquid nitrogen and transport to the lab on dry ice. Storage at -80°C until RNA extraction environmental samples Total RNA was extracted using the protocol of Chang S, Puryear J, Cairney J (1993, A simple and efficient method for isolating RNA from pine trees. Plant Mol Biol Rep 11:113–116). The RNA of four samples was pooled. The cDNA libraries were prepared using NEBNext Ultra RNA Library Prep Kit for Illumina (New England BioLabs, Frankfurt am Main, Germany) according to the manufactorer´s protocol		PRJEB61297	HEW5		S1_S1						
SAMEA112896193	ERA21824932	Protocols: Per plant: harvest of fine roots (< 2mm diameter) in the field, froozen in liquid nitrogen and transport to the lab on dry ice. Storage at -80°C until RNA extraction environmental samples Total RNA was extracted using the protocol of Chang S, Puryear J, Cairney J (1993, A simple and efficient method for isolating RNA from pine trees. Plant Mol Biol Rep 11:113–116). The RNA of four samples was pooled. The cDNA libraries were prepared using NEBNext Ultra RNA Library Prep Kit for Illumina (New England BioLabs, Frankfurt am Main, Germany) according to the manufactorer´s protocol		PRJEB61297	HEW21		S4_S8						
SAMEA1130627		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130638		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130640		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130641		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130643		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130644		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130647		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130654		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130655		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130659		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130660		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130661		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130662		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130665		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130667		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130670		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130672		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130674		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130676		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130677		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130679		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130689		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130690		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130701		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130702		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130703		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130710		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130711		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130715		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130718		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130723		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130724		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130727		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130728		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130729		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130736		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130739		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130740		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130742		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130753		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130757		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130758		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130759		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130761		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
